Genesis;[0]1,[1]1,[4]1,[2]1,[3]1
[2]41;[4]42
[3]48;[2]43,[1]50,[4]44,[0]49
[1]48;[3]51,[1]51,[0]50
[0]47;[3]52
[4]42;[2]43,[1]50
[3]49;[3]51,[0]50
[2]42;[4]45,[2]45
[1]49;[3]50
[0]48;[3]53,[4]46
[4]43;[2]44
[2]43;[4]45
[3]50;[2]44,[1]51
[1]50;[2]47,[1]53,[4]48
[4]44;[3]54,[0]52
[0]49;[3]52
[3]51;[0]51,[4]47
[2]44;[4]46,[1]52,[2]46,[3]54
[1]51;[4]48
[0]50;[4]49,[1]54
[4]45;[3]53
[3]52;[0]51,[4]47
[2]45;[3]56,[1]54,[2]48
[3]53;[0]52,[2]47,[3]55
[4]46;[3]56
[1]52;[3]55
[0]51;[1]53
[2]46;[3]57,[4]50
[3]54;[4]49,[2]48
[4]47;[1]55
[0]52;[1]55
[2]47;[4]50,[0]53
[3]55;[3]58,[2]50,[0]55
[1]53;[4]51,[0]54,[2]50
[4]48;[2]49
[4]49;[0]53
[3]56;[3]58,[0]55
[1]54;[1]57
[2]48;[2]51
[3]57;[4]51
[4]50;[2]49
[1]55;[1]56,[4]52,[3]59
[0]53;[2]52,[0]56,[3]60
[2]49;[2]51,[1]56,[4]52
[4]51;[0]57,[4]54,[2]53
[0]54;[3]59
[3]58;[4]53,[2]52
[2]50;[0]56
[0]55;[0]57,[4]54,[2]53,[1]58
[2]51;[1]57,[3]60
[1]56;[4]53
[4]52;[4]55
[3]59;[1]59
[4]53;[4]55,[2]54,[1]60
[2]52;[1]59,[2]54
[0]56;[1]58
[1]57;[0]58,[1]60
[3]60;[4]58,[2]58
[0]57;[2]55,[4]56,[0]59
[4]54;[4]56,[0]59
[2]53;[0]60
[1]58;[0]58
[1]59;[0]60
[4]55;[4]57,[2]57
[2]54;[2]57,[4]58
[0]58;[2]56,[4]57
[1]60;[2]60
[2]55;[2]56
[4]56;[2]59
[0]59;
[0]60;
[2]56;[2]59
[4]57;[2]58
[2]57;[4]60
[4]58;[4]59
[2]58;[4]60
[4]59;[2]60
[2]59;
[4]60;
[2]60;
