Genesis;[8]1,[6]1,[0]1,[1]1,[4]1,[9]1,[2]1
[2]13;[2]14,[3]14
[0]19;[0]20,[6]22,[1]22,[3]15,[8]23
[1]21;[1]22,[3]15,[0]21,[9]22,[7]11
[2]14;[2]15,[0]21,[8]23
[8]20;[8]21,[7]12
[0]20;[0]21,[9]22,[7]11,[2]16,[1]23
[2]15;[9]22,[7]11,[2]16,[0]22
[8]21;[8]22
[8]22;[8]23,[2]16,[0]22,[7]13,[1]23
[3]14;[3]15,[7]13,[1]23
[6]22;[6]53
[1]22;[7]14,[9]23,[3]16,[8]24
[3]15;[9]23,[4]11,[3]17
[0]21;[0]22,[1]24,[4]11,[6]23,[2]17
[8]23;[4]11,[7]15
[9]22;[9]23,[1]24,[6]23
[7]11;[7]12
[7]12;[7]13,[6]23,[2]17,[3]16,[8]24
[2]16;[2]17,[3]17,[7]16,[1]26
[0]22;[5]18,[3]16,[8]24,[7]15,[9]24,[1]25,[2]18
[7]13;[7]14
[7]14;[5]18,[7]15,[9]24,[1]25,[2]18,[8]25,[3]18,[4]12
[1]23;[1]24,[7]16,[9]24
[9]23;[5]18,[1]26
[5]18;[0]32
[1]24;[5]19,[1]25,[8]25,[3]18,[4]12,[7]19
[4]11;[8]27
[6]23;[2]18
[2]17;[3]19,[4]13,[1]27,[8]26
[3]16;[3]17
[8]24;[8]25,[3]19
[3]17;[3]18,[4]12,[8]27,[7]19
[7]15;[7]16
[7]16;[7]17,[4]13,[1]27
[7]17;[7]18,[8]26
[9]24;[5]19
[7]18;[5]19,[7]19,[8]28,[6]24,[1]28,[0]23,[9]25
[5]19;[1]29,[3]20,[7]20,[0]26
[1]25;[1]26
[1]26;[1]27,[8]28,[6]24
[2]18;[8]29,[1]28,[0]24,[6]26,[9]26
[8]25;[8]26
[3]18;[3]19,[8]29,[6]24
[3]19;[1]30,[0]25
[4]12;[4]13
[4]13;[0]23
[1]27;[1]28,[0]23,[9]25,[6]25,[8]30,[3]20
[8]26;[8]27
[8]27;[8]28,[9]25,[6]25,[1]30
[7]19;[0]24,[8]30,[6]26,[1]29,[3]20
[8]28;[8]29,[9]26
[8]29;[8]30,[0]25,[7]20,[9]27,[6]27,[3]21,[4]14
[6]24;[6]25
[1]28;[1]29,[7]20,[0]26,[9]27,[6]27,[3]21
[0]23;[0]24,[4]14
[9]25;[9]26
[6]25;[6]26,[4]14
[0]24;[5]20,[0]25,[7]21,[6]28
[8]30;[8]32
[6]26;[5]20,[6]27
[1]29;[1]30
[1]30;[5]20,[7]21,[6]28,[3]22,[8]31,[9]28,[1]31,[2]19
[5]20;[5]21,[7]23
[3]20;[3]21,[8]31,[9]28,[7]22
[9]26;[9]27
[0]25;[0]26,[3]22
[7]20;[5]26,[4]23,[1]37
