Genesis;[8]1,[6]1,[0]1,[1]1,[4]1,[9]1,[2]1
[8]1;[3]1,[1]3,[8]2,[2]2,[7]1,[6]3
[6]1;[3]1,[6]2,[2]3,[7]1,[5]2
[0]1;[3]1,[0]2,[7]1,[2]4,[6]3,[5]1
[3]1;[3]2,[0]3
[1]1;[1]2,[5]1
[4]1;[3]3,[5]1
[9]1;[9]2
[9]2;[3]2,[5]2
[1]2;[3]2,[1]3
[2]1;[3]3,[2]2
[3]2;[3]3
[3]3;[3]4,[4]3,[8]4,[6]4
[6]2;[6]3
[0]2;[3]4,[8]3,[0]3,[5]3,[4]2,[6]4
[1]3;[8]3,[4]3
[8]2;[1]11
[2]2;[2]3
[2]3;[2]4,[8]3
[7]1;[8]5
[2]4;[3]4,[0]3,[5]3,[4]2,[8]4,[6]4
[6]3;[5]3,[4]2,[8]7
[5]1;[5]2
[5]2;[8]5,[6]5,[9]3
[3]4;[8]8,[0]4,[2]6,[7]2,[1]4,[6]6,[9]4
[8]3;[8]4
[0]3;[6]5,[8]7,[9]3,[5]4,[4]4,[2]5
[5]3;[0]5,[8]9,[1]5
[4]2;[4]3
[4]3;[9]3,[5]4,[4]4,[8]8,[2]5,[0]5
[8]4;[8]5,[5]4,[4]4
[6]4;[6]5
[8]5;[8]6
[8]6;[8]7,[2]5
[6]5;[0]4,[8]9,[7]2,[1]5,[9]4
[8]7;[8]8,[0]4,[2]6,[7]2,[1]4,[6]6,[9]4
[9]3;[1]4,[6]6,[8]10
[5]4;[7]3
[4]4;[8]10,[7]3,[1]6,[6]8,[9]7
[8]8;[8]9,[1]6,[9]5,[0]8
[2]5;[2]6,[9]5,[0]8
[0]4;[0]5
[0]5;[0]6,[9]6,[6]7
[8]9;[3]5,[8]10,[6]7,[5]5,[0]9
[2]6;[9]6,[6]7,[5]5,[0]9,[7]4,[1]7
[0]6;[3]5,[0]7,[5]5,[9]7,[7]4,[8]11
[7]2;[7]3
[1]4;[3]5,[1]5,[8]11,[5]6
[6]6;[6]8,[5]6
[3]5;[4]5,[1]9
[1]5;[1]6,[7]5
[9]4;[9]5
[0]7;[0]8,[7]5,[1]7
[8]10;[8]11,[6]10
[7]3;[7]4
[1]6;[1]7,[8]12,[6]10,[7]6
[9]5;[9]6
[0]8;[0]9,[8]12,[6]9
[9]6;[9]7
[6]7;[6]8
[6]8;[6]9
[5]5;[5]6,[6]9
[0]9;[7]6,[6]11,[4]5,[2]7,[5]7
[9]7;[9]18
[7]4;[7]5
[8]11;[8]12
[5]6;[6]11,[5]8,[4]6
[7]5;[7]6,[2]7
[1]7;[4]5,[2]7,[6]12,[5]8,[1]8,[9]8
[8]12;[6]12,[5]7,[1]9,[9]8,[2]9
[6]9;[6]10
[6]10;[6]11,[5]7,[1]8,[4]6
[7]6;[1]8,[2]8,[4]7
[6]11;[6]12,[2]8,[4]7,[9]8,[1]10,[8]13
[4]5;[4]6,[2]9,[8]13,[1]11
[2]7;[2]8,[1]10,[8]13,[6]13
[6]12;[1]13
[5]7;[5]8
[5]8;[1]13,[6]14,[9]10
[1]8;[1]9
[1]9;[1]10,[6]13
[4]6;[4]7,[6]13
[2]8;[2]9
[4]7;[3]6,[9]9,[0]10,[1]12,[7]7,[5]10,[2]10,[8]14
[9]8;[5]10
[2]9;[3]6,[9]9,[0]10,[1]12,[5]9,[7]7,[2]10,[8]14
[1]10;[1]11
[8]13;[5]9,[1]14
[1]11;[3]6,[9]9,[0]10,[1]12,[5]9,[7]7,[2]10,[8]14
[6]13;[1]14
[3]6;[8]17,[5]12,[6]16
[9]9;[3]7,[6]14,[9]10
[0]10;[3]7,[6]14,[9]10,[8]15,[5]11,[7]8
[1]12;[1]13
[5]9;[5]10
[7]7;[8]15
[1]13;[3]7,[1]14,[8]16,[5]11
[5]10;[3]8,[8]16,[5]11,[6]16,[7]8
[3]7;[3]8
[2]10;[3]8,[8]17,[5]12,[6]15
[8]14;[8]15
[3]8;[3]9,[6]17,[0]11,[9]11,[5]14,[1]15
[1]14;[6]15,[7]8,[5]13,[8]18
[6]14;[6]15,[5]13
[9]10;[8]18,[6]18
[8]15;[8]16
[8]16;[8]17
[5]11;[5]12
[8]17;[8]18,[6]17,[0]11,[9]11
[5]12;[5]13,[0]11,[6]18
[6]15;[6]16
[6]16;[3]9,[6]17,[9]11,[5]14,[0]12,[1]15
[7]8;[3]10,[0]13,[5]16
[5]13;[3]9,[5]14,[0]12,[9]12,[7]9
[3]9;[3]10,[5]15
[8]18;[1]15,[0]13
[6]17;[3]10,[6]18,[9]12,[7]9
[3]10;[3]11,[1]17,[9]16
[0]11;[0]12,[7]9,[9]13
[6]18;[9]13,[7]10,[2]11,[5]15,[1]16
[9]11;[9]12
[5]14;[9]14,[2]11,[5]16
[0]12;[0]13,[7]10,[9]14,[2]11,[5]15,[1]16
[1]15;[1]16,[9]15
[0]13;[3]11,[1]17,[9]15,[6]19,[0]14,[8]19
[9]12;[3]11,[9]13
[3]11;[1]19,[6]21,[0]17
[7]9;[7]10
[9]13;[9]14
[7]10;[9]17
[9]14;[9]15,[6]19,[0]14,[8]19,[1]18,[4]8,[2]12
[2]11;[9]16,[6]19,[0]15,[1]18,[2]12,[4]9
[5]15;[5]16
[5]16;[9]17,[0]14,[8]19,[6]20,[1]19,[4]8
[1]16;[1]17,[9]18,[0]15,[6]20,[4]8
[1]17;[3]12,[1]18,[2]12,[4]9,[6]21,[0]16
[9]15;[9]16,[0]16
[9]16;[3]12,[9]17
[6]19;[3]12,[6]20,[9]20
[3]12;[3]13
[9]17;[9]18
[0]14;[3]13,[0]15,[9]20
[9]18;[3]13,[9]19,[0]17,[5]17,[1]20,[4]10
[3]13;[8]20
[8]19;[5]17
[0]15;[0]16,[5]17,[1]20,[4]10,[9]21
[1]18;[1]19,[4]10
[6]20;[6]21
[1]19;[1]20,[9]21,[0]19
[9]19;[9]20,[2]13,[0]19,[1]21
[4]8;[4]9
[2]12;[8]22,[7]12
[4]9;[7]21,[8]32
[6]21;[2]13
[0]16;[0]17,[2]13,[1]21
[0]17;[0]18,[2]14,[8]20
[9]20;[9]21,[2]14,[8]20,[0]20
[5]17;[0]31,[1]35
[1]20;[1]21,[0]20,[8]22,[6]22
[4]10;[7]14
[9]21;[3]14,[2]15,[8]21,[6]22,[1]22
[0]18;[3]14,[0]19,[2]15,[8]21
[2]13;[3]14,[2]14
[3]14;[3]15,[7]13,[1]23
[0]19;[3]15,[0]20,[6]22,[1]22,[8]23
[1]21;[3]15,[1]22,[0]21,[9]22,[7]11
[3]15;[3]17,[9]23,[4]11
[2]14;[2]15,[0]21,[8]23
[8]20;[8]21,[7]12
[0]20;[0]21,[9]22,[7]11,[2]16,[1]23
[2]15;[9]22,[7]11,[2]16,[0]22
[8]21;[8]22
[8]22;[8]23,[2]16,[0]22,[7]13,[1]23
[6]22;[6]53
[1]22;[3]16,[7]14,[9]23,[8]24
[0]21;[0]22,[1]24,[4]11,[6]23,[2]17
[8]23;[4]11,[7]15
[9]22;[9]23,[1]24,[6]23
[7]11;[7]12
[7]12;[3]16,[7]13,[6]23,[2]17,[8]24
[2]16;[3]17,[2]17,[7]16,[1]26
[0]22;[3]16,[8]24,[7]15,[9]24,[5]18,[1]25,[2]18
[3]16;[3]17
[3]17;[3]18,[4]12,[8]27,[7]19
[7]13;[7]14
[7]14;[3]18,[7]15,[9]24,[5]18,[1]25,[2]18,[8]25,[4]12
[1]23;[1]24,[7]16,[9]24
[9]23;[5]18,[1]26
[1]24;[3]18,[1]25,[8]25,[4]12,[7]19,[5]19
[4]11;[8]27
[6]23;[2]18
[2]17;[3]19,[4]13,[1]27,[8]26
[3]18;[3]19,[8]29,[6]24
[8]24;[3]19,[8]25
[3]19;[1]30,[0]25
[7]15;[7]16
[7]16;[7]17,[4]13,[1]27
[7]17;[7]18,[8]26
[9]24;[5]19
[7]18;[7]19,[5]19,[8]28,[6]24,[1]28,[0]23,[9]25
[5]18;[0]32
[1]25;[1]26
[1]26;[1]27,[8]28,[6]24
[2]18;[8]29,[1]28,[0]24,[6]26,[9]26
[8]25;[8]26
[4]12;[4]13
[4]13;[0]23
[1]27;[3]20,[1]28,[0]23,[9]25,[6]25,[8]30
[8]26;[8]27
[8]27;[8]28,[9]25,[6]25,[1]30
[7]19;[3]20,[0]24,[8]30,[6]26,[1]29
[5]19;[3]20,[1]29,[7]20,[0]26
[3]20;[3]21,[8]31,[9]28,[7]22
[8]28;[8]29,[9]26
[8]29;[3]21,[8]30,[0]25,[7]20,[9]27,[6]27,[4]14
[6]24;[6]25
[1]28;[3]21,[1]29,[7]20,[0]26,[9]27,[6]27
[3]21;[3]22,[1]31,[5]21,[0]27,[7]23
[0]23;[0]24,[4]14
[9]25;[9]26
[6]25;[6]26,[4]14
[0]24;[0]25,[7]21,[5]20,[6]28
[8]30;[8]32
[6]26;[6]27,[5]20
[1]29;[1]30
[1]30;[3]22,[7]21,[5]20,[6]28,[8]31,[9]28,[1]31,[2]19
[9]26;[9]27
