Genesis;[8]1,[6]1,[0]1,[1]1,[4]1,[9]1,[2]1
[8]1;[7]1,[1]3,[8]2,[2]2,[3]1,[6]3
[6]1;[7]1,[6]2,[2]3,[3]1,[5]2
[0]1;[7]1,[0]2,[3]1,[2]4,[6]3,[5]1
[7]1;[8]5
[1]1;[1]2,[5]1
[4]1;[5]1,[3]3
[9]1;[9]2
[9]2;[5]2,[3]2
[1]2;[1]3,[3]2
[2]1;[2]2,[3]3
[6]2;[6]3
[0]2;[8]3,[0]3,[5]3,[4]2,[3]4,[6]4
[1]3;[8]3,[4]3
[8]2;[1]11
[2]2;[2]3
[2]3;[2]4,[8]3
[3]1;[3]2,[0]3
[2]4;[0]3,[5]3,[4]2,[3]4,[8]4,[6]4
[6]3;[5]3,[4]2,[8]7
[5]1;[5]2
[5]2;[8]5,[6]5,[9]3
[3]2;[3]3
[3]3;[4]3,[3]4,[8]4,[6]4
[8]3;[8]4
[0]3;[6]5,[8]7,[9]3,[5]4,[4]4,[2]5
[5]3;[0]5,[8]9,[1]5
[4]2;[4]3
[4]3;[9]3,[5]4,[4]4,[8]8,[2]5,[0]5
[3]4;[7]2,[8]8,[0]4,[2]6,[1]4,[6]6,[9]4
[8]4;[8]5,[5]4,[4]4
[6]4;[6]5
[8]5;[8]6
[8]6;[8]7,[2]5
[6]5;[7]2,[0]4,[8]9,[1]5,[9]4
[8]7;[7]2,[8]8,[0]4,[2]6,[1]4,[6]6,[9]4
[7]2;[7]3
[9]3;[1]4,[6]6,[8]10
[5]4;[7]3
[4]4;[7]3,[8]10,[1]6,[6]8,[9]7
[7]3;[7]4
[8]8;[8]9,[1]6,[9]5,[0]8
[2]5;[2]6,[9]5,[0]8
[0]4;[0]5
[0]5;[0]6,[9]6,[6]7
[8]9;[8]10,[6]7,[5]5,[0]9,[3]5
[2]6;[7]4,[9]6,[6]7,[5]5,[0]9,[1]7
[0]6;[7]4,[0]7,[5]5,[9]7,[8]11,[3]5
[7]4;[7]5
[1]4;[1]5,[8]11,[5]6,[3]5
[6]6;[6]8,[5]6
[1]5;[7]5,[1]6
[9]4;[9]5
[0]7;[7]5,[0]8,[1]7
[7]5;[7]6,[2]7
[8]10;[8]11,[6]10
[1]6;[7]6,[1]7,[8]12,[6]10
[9]5;[9]6
[0]8;[0]9,[8]12,[6]9
[9]6;[9]7
[6]7;[6]8
[6]8;[6]9
[5]5;[5]6,[6]9
[0]9;[7]6,[6]11,[4]5,[2]7,[5]7
[7]6;[1]8,[2]8,[4]7
[9]7;[9]18
[8]11;[8]12
[5]6;[6]11,[5]8,[4]6
[3]5;[4]5,[1]9
[1]7;[4]5,[2]7,[6]12,[5]8,[1]8,[9]8
[8]12;[6]12,[5]7,[1]9,[9]8,[2]9
[6]9;[6]10
[6]10;[6]11,[5]7,[1]8,[4]6
[6]11;[6]12,[2]8,[4]7,[9]8,[1]10,[8]13
[4]5;[4]6,[2]9,[8]13,[1]11
[2]7;[2]8,[1]10,[8]13,[6]13
[6]12;[1]13
[5]7;[5]8
[5]8;[1]13,[6]14,[9]10
[1]8;[1]9
[1]9;[1]10,[6]13
[4]6;[4]7,[6]13
[2]8;[2]9
[4]7;[7]7,[9]9,[0]10,[1]12,[5]10,[2]10,[3]6,[8]14
[9]8;[5]10
[2]9;[7]7,[9]9,[0]10,[1]12,[5]9,[2]10,[3]6,[8]14
[1]10;[1]11
[8]13;[5]9,[1]14
[1]11;[7]7,[9]9,[0]10,[1]12,[5]9,[2]10,[3]6,[8]14
[7]7;[8]15
[6]13;[1]14
[9]9;[6]14,[9]10,[3]7
[0]10;[7]8,[6]14,[9]10,[8]15,[5]11,[3]7
[1]12;[1]13
[5]9;[5]10
[1]13;[1]14,[8]16,[5]11,[3]7
[5]10;[7]8,[8]16,[5]11,[3]8,[6]16
[2]10;[8]17,[5]12,[3]8,[6]15
[3]6;[8]17,[5]12,[6]16
[8]14;[8]15
[1]14;[7]8,[6]15,[5]13,[8]18
[7]8;[0]13,[3]10,[5]16
[6]14;[6]15,[5]13
[9]10;[8]18,[6]18
[8]15;[8]16
[8]16;[8]17
[5]11;[5]12
