0.08;fail
0.08;fail
0.08;22;1105;1103
0.08;19;1114;1116
0.08;21;1116;1115
0.08;22;1136;1139
0.08;18;1120;1119
0.08;16;1125;1127
0.08;16;1167;1165
0.08;18;1187;1189
0.08;22;1174;1173
0.08;15;1210;1206
0.08;14;1158;1157
0.08;12;1109;1107
0.08;16;1128;1129
0.08;20;1096;1097
0.08;22;1154;1153
0.08;fail
0.08;23;1171;1173
0.08;22;1137;1136
0.08;23;1154;1156
0.08;14;1149;1150
0.08;24;1067;1069
0.08;15;1128;1131
0.08;16;1094;1092
0.08;21;1140;1141
0.08;21;1133;1130
0.08;fail
0.08;21;1176;1177
0.08;20;1120;1118
0.08;15;1158;1160
0.08;21;1179;1181
0.08;12;1181;1178
0.08;16;1130;1131
0.08;19;1153;1152
0.08;21;1151;1150
0.08;25;1096;1094
0.08;28;1135;1132
0.08;14;1137;1135
0.08;25;1104;1103
0.08;fail
0.08;19;1130;1131
0.08;17;1137;1135
0.08;15;1164;1165
0.08;17;1197;1198
0.08;23;1144;1146
0.08;26;1104;1106
0.08;17;1099;1096
0.08;25;1172;1171
0.08;19;1117;1121
0.08;22;1137;1135
0.08;21;1147;1149
0.08;15;1098;1096
0.08;11;1141;1142
0.08;22;1190;1191
0.08;23;1097;1099
0.08;22;1117;1117
0.08;17;1199;1195
0.08;24;1147;1149
0.08;22;1116;1114
0.08;18;1137;1142
0.08;26;1125;1126
0.08;20;1120;1122
0.08;23;1169;1172
0.08;22;1156;1154
0.08;16;1151;1149
0.08;22;1206;1208
0.08;19;1108;1107
0.08;11;1098;1100
0.08;28;1168;1166
0.08;27;1127;1129
0.08;19;1155;1156
0.08;26;1155;1153
0.08;16;1120;1121
0.08;16;1052;1055
0.08;24;1074;1075
0.08;fail
0.08;21;1214;1212
0.08;27;1160;1159
0.08;26;1146;1144
0.08;31;1152;1151
0.08;17;1096;1092
0.08;15;1199;1202
0.08;fail
0.08;15;1155;1155
0.08;23;1055;1057
0.08;16;1146;1147
0.08;12;1164;1165
0.08;27;1118;1120
0.08;18;1139;1136
0.08;20;1128;1130
0.08;23;1177;1176
0.08;30;1170;1169
0.08;16;1128;1127
0.08;11;1126;1127
0.08;18;1148;1145
0.08;30;1136;1137
0.08;18;1192;1191
0.08;22;1164;1162
0.08;14;1146;1149
